published_date,twitter_posts,twitter_likes,twitter_sentiment,stock_twitter_posts,stock_twitter_likes,sentiment_score,weighted_daily_sentiment_x,weighted_daily_sentiment_y
21-02-2025,77,2907,0.52896,24,29,0.53692,strongly_positive,strongly_positive
21-02-2025,129,6453,0.49822,42,40,0.5029,strongly_positive,strongly_positive
21-02-2025,50,1214,0.63782,22,26,0.54195,strongly_positive,strongly_positive
21-02-2025,24,309,0.54129,12,16,0.55892,strongly_positive,strongly_positive
21-02-2025,22,214,0.48518,15,18,0.50227,strongly_positive,strongly_positive
21-02-2025,9,74,0.66241,7,22,0.64757,strongly_positive,strongly_positive
21-02-2025,6,4,0.59193,5,2,0.6114,strongly_positive,strongly_positive
21-02-2025,3,19,0.81813,1,5,0.825,strongly_positive,strongly_positive
21-02-2025,10,182,0.55292,4,17,0.5735,strongly_positive,strongly_positive
21-02-2025,12,304,0.61753,5,25,0.5338,strongly_positive,strongly_positive
21-02-2025,7,24,0.54747,4,5,0.50725,strongly_positive,strongly_positive
21-02-2025,6,74,0.61542,4,20,0.63825,strongly_positive,strongly_positive
20-02-2025,0,0,0.5,0,0,0.5,strongly_positive,strongly_positive
20-02-2025,7,33,0.7167,5,10,0.7078,strongly_positive,strongly_positive
20-02-2025,29,379,0.54192,9,10,0.55389,strongly_positive,strongly_positive
20-02-2025,18,136,0.59811,6,6,0.59833,strongly_positive,strongly_positive
20-02-2025,16,116,0.51037,11,14,0.52727,strongly_positive,strongly_positive
20-02-2025,10,77,0.70315,7,17,0.58843,strongly_positive,strongly_positive
20-02-2025,9,14,0.48427,8,6,0.50125,strongly_positive,strongly_positive
20-02-2025,37,1380,0.44997,13,32,0.45623,strongly_positive,strongly_positive
20-02-2025,81,4415,0.5403,30,49,0.52323,strongly_positive,strongly_positive
20-02-2025,53,1097,0.64382,22,21,0.54932,strongly_positive,strongly_positive
20-02-2025,33,414,0.5589,18,17,0.56706,strongly_positive,strongly_positive
20-02-2025,41,418,0.49365,26,17,0.51131,strongly_positive,strongly_positive
20-02-2025,26,394,0.54117,19,34,0.53037,strongly_positive,strongly_positive
20-02-2025,67,3825,0.63201,20,42,0.5784,strongly_positive,strongly_positive
20-02-2025,82,2119,0.47801,27,21,0.48115,strongly_positive,strongly_positive
20-02-2025,61,3390,0.51207,21,47,0.50133,strongly_positive,strongly_positive
20-02-2025,34,586,0.5195,16,20,0.52825,strongly_positive,strongly_positive
20-02-2025,22,225,0.61415,12,14,0.57092,strongly_positive,strongly_positive
20-02-2025,8,101,0.72567,6,28,0.6195,strongly_positive,strongly_positive
20-02-2025,2,2,0.50309,2,3,0.519,strongly_positive,strongly_positive
20-02-2025,1,1,0.5386,1,4,0.5,strongly_positive,strongly_positive
20-02-2025,3,4,0.51001,1,1,0.5,strongly_positive,strongly_positive
20-02-2025,5,40,0.6467,2,8,0.5625,strongly_positive,strongly_positive
20-02-2025,7,53,0.5162,3,8,0.528,strongly_positive,strongly_positive
20-02-2025,5,30,0.55838,3,10,0.57933,strongly_positive,strongly_positive
19-02-2025,4,26,0.62379,3,12,0.54167,strongly_positive,strongly_positive
19-02-2025,9,60,0.55642,7,18,0.57171,strongly_positive,strongly_positive
19-02-2025,15,75,0.62958,5,4,0.5068,strongly_positive,strongly_positive
19-02-2025,14,201,0.43973,5,12,0.4354,strongly_positive,strongly_positive
19-02-2025,38,1174,0.50188,18,36,0.51372,strongly_positive,strongly_positive
19-02-2025,28,339,0.60836,14,15,0.48879,strongly_positive,strongly_positive
19-02-2025,22,148,0.53205,13,10,0.55223,strongly_positive,strongly_positive
19-02-2025,78,4898,0.5376,29,57,0.49952,strongly_positive,strongly_positive
19-02-2025,82,2674,0.52041,32,31,0.53984,strongly_positive,strongly_positive
19-02-2025,54,1148,0.53911,24,23,0.53346,strongly_positive,strongly_positive
19-02-2025,26,368,0.56847,15,21,0.52747,strongly_positive,strongly_positive
19-02-2025,44,1001,0.729,30,43,0.58497,strongly_positive,strongly_positive
19-02-2025,84,1825,0.49676,68,60,0.5156,strongly_positive,strongly_positive
19-02-2025,333,26718,0.54221,104,62,0.5545,strongly_positive,strongly_positive
19-02-2025,80,2341,0.55195,28,25,0.51982,strongly_positive,strongly_positive
19-02-2025,30,405,0.53367,11,12,0.55391,strongly_positive,strongly_positive
19-02-2025,8,96,0.48679,4,15,0.50025,strongly_positive,strongly_positive
19-02-2025,5,56,0.54204,3,17,0.55733,strongly_positive,strongly_positive
19-02-2025,5,4,0.44882,4,2,0.44425,strongly_positive,strongly_positive
19-02-2025,1,1,0.83062,1,9,0.734,strongly_positive,strongly_positive
19-02-2025,14,98,0.66261,4,5,0.681,strongly_positive,strongly_positive
19-02-2025,13,124,0.56535,5,9,0.5868,strongly_positive,strongly_positive
19-02-2025,9,75,0.56967,4,9,0.5695,strongly_positive,strongly_positive
19-02-2025,4,0,0.48898,2,0,0.5,strongly_positive,strongly_positive
18-02-2025,6,41,0.61797,4,13,0.5065,strongly_positive,strongly_positive
18-02-2025,5,41,0.47455,4,18,0.474,strongly_positive,strongly_positive
18-02-2025,7,40,0.71382,6,21,0.64083,strongly_positive,strongly_positive
18-02-2025,14,397,0.60517,5,24,0.5782,strongly_positive,strongly_positive
18-02-2025,25,871,0.52454,9,31,0.54411,strongly_positive,strongly_positive
18-02-2025,24,363,0.56331,12,19,0.57558,strongly_positive,strongly_positive
18-02-2025,24,446,0.50107,13,25,0.47815,strongly_positive,strongly_positive
18-02-2025,98,6108,0.67013,61,103,0.55934,strongly_positive,strongly_positive
18-02-2025,99,723,0.60251,98,92,0.54201,strongly_positive,strongly_positive
18-02-2025,565,114375,0.50871,167,149,0.52514,strongly_positive,strongly_positive
18-02-2025,234,23378,0.50921,77,81,0.49231,strongly_positive,strongly_positive
18-02-2025,81,2553,0.51024,51,53,0.52943,strongly_positive,strongly_positive
18-02-2025,89,2784,0.54901,67,71,0.54464,strongly_positive,strongly_positive
18-02-2025,71,547,0.60506,64,32,0.53672,strongly_positive,strongly_positive
18-02-2025,69,3303,0.65626,23,39,0.5293,strongly_positive,strongly_positive
18-02-2025,13,217,0.48657,5,15,0.505,strongly_positive,strongly_positive
