date,CNHUSD_open,CNHUSD_high,CNHUSD_low,CNHUSD_close,CNHUSD_adjClose,CNHUSD_traded_volume,CNHUSD_unadjusted_traded_Volume,CNHUSD_change,CNHUSD_changePercent,CNHUSD_vwap,CNHUSD_label,CNHUSD_changeOverTime
13-12-2021,0.15629,0.15673,0.15629,0.15645,0.15645,0,0,0.00016,0.10237,0.15644,"December 13, 21",0.0010237
10-12-2021,0.15636,0.15672,0.15636,0.15642,0.15642,0,0,6e-05,0.03837299,0.15647,"December 10, 21",0.0003837299
09-12-2021,0.1572,0.15734,0.15639,0.15639,0.15639,0,0,-0.00081,-0.51527,0.15683,"December 09, 21",-0.0051527
08-12-2021,0.15674,0.15756,0.15674,0.1572,0.1572,0,0,0.00046,0.29348,0.15706,"December 08, 21",0.0029348
07-12-2021,0.15647,0.15675,0.15647,0.15675,0.15675,0,0,0.00028,0.17895,0.15661,"December 07, 21",0.0017895
06-12-2021,0.15651,0.15661,0.15646,0.15646,0.15646,0,0,-5e-05,-0.03194684,0.15651,"December 06, 21",-0.0003194684
03-12-2021,0.15652,0.15665,0.15651,0.15651,0.15651,0,0,-1e-05,-0.00638896,0.15655,"December 03, 21",-6.38896e-05
02-12-2021,0.15653,0.15662,0.15653,0.15653,0.15653,0,0,0,0,0.15655,"December 02, 21",0
01-12-2021,0.15669,0.15674,0.15651,0.15651,0.15651,0,0,-0.00018,-0.11488,0.15661,"December 01, 21",-0.0011488
30-11-2021,0.15619,0.15672,0.15619,0.15672,0.15672,0,0,0.00053,0.33933,0.15646,"November 30, 21",0.0033933
29-11-2021,0.1559,0.15631,0.1559,0.15619,0.15619,0,0,0.00029,0.18602,0.15608,"November 29, 21",0.0018602
26-11-2021,0.15615,0.15617,0.15592,0.15592,0.15592,0,0,-0.00023,-0.14729,0.15604,"November 26, 21",-0.0014729
25-11-2021,0.15596,0.15617,0.15596,0.15615,0.15615,0,0,0.00019,0.12183,0.15606,"November 25, 21",0.0012183
24-11-2021,0.15608,0.15617,0.15596,0.15596,0.15596,0,0,-0.00012,-0.07688365,0.15604,"November 24, 21",-0.0007688365
23-11-2021,0.15608,0.15624,0.15607,0.15607,0.15607,0,0,-1e-05,-0.00640697,0.15612,"November 23, 21",-6.40697e-05
22-11-2021,0.15611,0.15638,0.15609,0.15609,0.15609,0,0,-2e-05,-0.01281148,0.15617,"November 22, 21",-0.0001281148
19-11-2021,0.15632,0.15634,0.15607,0.15607,0.15607,0,0,-0.00025,-0.15993,0.1562,"November 19, 21",-0.0015993
18-11-2021,0.15646,0.15648,0.1563,0.1563,0.1563,0,0,-0.00016,-0.10226,0.15639,"November 18, 21",-0.0010226
17-11-2021,0.15608,0.15652,0.15608,0.15647,0.15647,0,0,0.00039,0.24987,0.15629,"November 17, 21",0.0024987
16-11-2021,0.15627,0.15674,0.15607,0.15607,0.15607,0,0,-0.0002,-0.12798,0.15629,"November 16, 21",-0.0012798
15-11-2021,0.15628,0.15649,0.15626,0.15626,0.15626,0,0,-2e-05,-0.01279754,0.15632,"November 15, 21",-0.0001279754
12-11-2021,0.15605,0.15655,0.15605,0.15637,0.15637,0,0,0.00032,0.20506,0.15626,"November 12, 21",0.0020506
